gene,tb_mean,healthy_mean,log2_fold_change,p_value,adjusted_p_value,significant
ENSG00000081052,1.3630062295177106,1.5409436363767577,-0.17793740685904713,1.615553889504491e-37,7.005526331058324e-33,True
ENSG00000108950,1.7477460020362978,1.3556829000362411,0.3920631020000567,2.7024883931016948e-36,5.859400209503439e-32,True
ENSG00000261799,2.0167850843378563,2.109680831203254,-0.09289574686539748,3.230065256675125e-34,4.6688439908401144e-30,True
ENSG00000274012,2.5785035474101,2.2413918033475886,0.3371117440625113,8.802426002371636e-34,9.54248996852103e-30,True
ENSG00000182379,1.1861815248697203,1.4214253479270873,-0.23524382305736702,1.685902403339943e-33,1.462115718320599e-29,True
ENSG00000005381,2.0613414499512897,1.7624828872978624,0.29885856265342725,1.2598426186424044e-32,9.10509257869843e-29,True
ENSG00000276168,2.3867244984612452,2.070837285981443,0.3158872124798022,4.976037085829214e-32,2.6971987019101524e-28,True
ENSG00000119686,2.2387612726426958,1.99763072662875,0.24113054601394568,4.6271503769032316e-32,2.6971987019101524e-28,True
ENSG00000253364,1.4158176706955825,1.578710496494904,-0.1628928257993214,1.3469411810524813e-30,6.489712270442082e-27,True
ENSG00000173369,2.1284011838566754,1.7290769842219031,0.3993241996347723,2.3559844147633318e-30,1.0216255217738235e-26,True
ENSG00000105866,1.973332828540511,2.1278415927165812,-0.1545087641760703,6.993020317894856e-30,2.7567121822261335e-26,True
ENSG00000172232,1.9714388110073573,1.656793533687257,0.3146452773201003,2.0840991371910793e-27,7.531065907168064e-24,True
ENSG00000234965,1.2492544252968147,1.4480669471033667,-0.19881252180655196,3.183041634154486e-27,1.0617402644756999e-23,True
ENSG00000106367,2.071287652022025,1.9942414025370148,0.07704624948501038,3.82865970539597e-27,1.185872648607753e-23,True
ENSG00000173372,2.2290467777647747,1.8621470012483694,0.36689977651640526,7.118866300181401e-27,2.0579693291651072e-23,True
ENSG00000267152,1.3948247690071398,1.5121239177592505,-0.11729914875211067,1.359889650457778e-26,3.6855559320500387e-23,True
ENSG00000197561,1.993150123714101,1.6159463050226812,0.3772038186914197,2.4923847358112818e-26,6.357487017587331e-23,True
ENSG00000108861,3.141670393158591,2.799435756319229,0.34223463683936206,3.580683889940286e-26,8.626066417748923e-23,True
ENSG00000008394,2.1255350969452698,1.959202417449245,0.1663326794960247,4.687881515337815e-26,1.0698979271031245e-22,True
ENSG00000100473,1.574660764380391,1.7396533351136452,-0.16499257073325424,7.578748824598409e-26,1.643186426405304e-22,True
ENSG00000240505,1.6028614740169644,1.7519996294431177,-0.14913815542615327,8.554030536775954e-26,1.7663258388867414e-22,True
ENSG00000143869,1.4175360384791624,1.579425831534236,-0.16188979305507356,6.309967524660092e-25,1.2437232807810709e-21,True
ENSG00000108788,3.411994450298557,3.3152171709752567,0.09677727932330038,7.758617164372037e-25,1.4627692004289766e-21,True
ENSG00000138031,2.354007601830585,2.1809959070390406,0.17301169479154455,1.9073993050945068e-24,3.446273169450545e-21,True
ENSG00000234184,1.0803648146475313,1.287836220928672,-0.2074714062811407,2.1718805163253606e-24,3.7671701931766644e-21,True
ENSG00000154511,1.8596946422546436,1.9473977338046773,-0.08770309155003364,2.324120303588316e-24,3.876185720173083e-21,True
ENSG00000077684,2.5768100265791873,2.7343721155018113,-0.1575620889226239,3.610967261279498e-24,5.79934716114307e-21,True
ENSG00000144645,1.7854889135001328,1.9994913322692527,-0.21400241876911985,5.475265385483369e-24,8.479426175382689e-21,True
