go_term,number_of_genes,statistic,p_value
GO:0001650,108,-4.9488950392524815,7.4635979723879e-07
GO:0140658,31,-4.945964250324588,7.576786441888659e-07
GO:0043565,507,-4.941180996599675,7.765078171171327e-07
GO:0016514,26,-4.940980824035838,7.773055380092128e-07
GO:0016604,316,-4.911341839836177,9.045523317302154e-07
GO:0006629,817,4.909469402412675,9.132314671422499e-07
GO:0045271,48,4.860843656738741,1.1688654116419577e-06
GO:0034063,27,-4.846951425390688,1.2537310883463525e-06
GO:0050821,230,-4.838650618787322,1.3072361086468092e-06
GO:0000380,22,-4.823119593295057,1.413301723409779e-06
GO:0031965,218,-4.817944807846699,1.4504447687102474e-06
GO:0045590,21,4.791822112845746,1.6527341084497145e-06
GO:0003714,218,-4.7821833226162385,1.7340142833905784e-06
GO:0030154,1030,-4.749458973889403,2.03961567326941e-06
GO:0000398,216,-4.7073304149674895,2.5098192096323594e-06
GO:0044295,24,-4.695662894029453,2.6574349434045065e-06
GO:0003697,109,-4.69454514135987,2.6720060352716604e-06
GO:0042393,169,-4.690119668512345,2.7304531187158038e-06
GO:0038187,43,4.689775924810506,2.7350439227927334e-06
GO:0010468,316,-4.687749886258862,2.7622531577545166e-06
GO:0006275,45,-4.681537751585405,2.847309476821402e-06
GO:0019731,65,4.675391435368296,2.9339345689379535e-06
GO:0045597,77,-4.6708195782953625,3.0000035456694607e-06
GO:0022904,81,4.670405016934213,3.00606454964107e-06
GO:0072539,19,4.666744891298447,3.0600887572720995e-06
GO:0051028,108,-4.655979857956201,3.22443458697351e-06
GO:0003678,45,-4.635653989585208,3.5581072419578725e-06
GO:0036002,19,-4.635014039643633,3.569132551743414e-06
GO:0006913,48,-4.630591771172711,3.6462212968794088e-06
GO:0003712,148,-4.629070319960777,3.6731103174253466e-06
GO:0051537,31,4.574309331817394,4.777934922972128e-06
GO:0008137,41,4.544625187593843,5.503309220176705e-06
GO:0045582,35,-4.517652695100885,6.252893427809656e-06
GO:0045063,25,4.51075577692841,6.459705876941434e-06
GO:0032259,196,-4.502205112465755,6.725203004401857e-06
GO:2000819,29,-4.5015225422337455,6.746840782351637e-06
GO:0006749,38,4.48735379101155,7.211326823214637e-06
GO:0005911,208,-4.47267616670824,7.724671474289832e-06
GO:0014069,271,-4.455534426490533,8.368446498175233e-06
GO:0030490,54,-4.453838945737532,8.434838132364189e-06
GO:0002720,19,4.451081419479331,8.54389378484827e-06
