go_term,number_of_genes,statistic,p_value
GO:0072075,7,-2.4816145225426625,0.013078867536216492
GO:0036151,14,2.480099899134002,0.013134557781480706
GO:0021987,61,-2.4796817365055217,0.013149969834562316
GO:0071074,5,-2.4795096503318916,0.013156316989131422
GO:0042167,15,2.4784892283244075,0.013194009495854675
GO:0043304,8,2.4784139537876055,0.013196793776168683
GO:0060325,18,-2.4741893204767593,0.013353891068604268
GO:0043525,55,2.474141874282218,0.013355664749995552
GO:0043405,11,2.4735424198520395,0.013378092100041117
GO:0010332,16,-2.4734023984157796,0.013383335506104134
GO:0042360,5,2.4733287401084416,0.013386094530011076
GO:0050661,39,2.472987447608684,0.013398884906786304
GO:0015908,28,2.4704137161172066,0.013495687157133528
GO:0071316,7,2.468690547807641,0.01356084321793791
GO:0000339,13,2.4684118831030912,0.013571406091886527
GO:0000027,12,-2.4677622372683747,0.013596059353612805
GO:0007034,24,2.467252516958546,0.013615430303931295
GO:0021766,40,-2.465222504803161,0.013692819164495306
GO:0032228,12,-2.4647408453183752,0.013711238091334848
GO:0043997,11,-2.464605271785532,0.013716426443679172
GO:1905806,8,-2.4634434217165864,0.01376096119631761
GO:0035279,121,2.4626131572494443,0.013792864159672994
GO:0032797,11,-2.4615941032995123,0.013832110637334596
GO:0043303,25,-2.4614772007636487,0.013836619163592174
GO:0006783,27,2.4596079714039116,0.013908885325198241
GO:0006518,10,2.458318471309778,0.01395893263896487
GO:0001181,5,-2.458287334304555,0.013960143073066544
GO:0030546,8,2.4579071494790017,0.01397493002506126
GO:0004620,34,2.457710571858366,0.013982581158715446
GO:2000822,5,2.456643855285603,0.014024164080241975
GO:0035666,12,2.454131377402346,0.014122537490488876
GO:1990111,5,2.4536784474905375,0.014140336119350012
GO:1904874,9,-2.453129472543633,0.014161935529820476
GO:0050919,38,-2.45110675916333,0.014241770610987733
GO:0140950,7,-2.450874788243009,0.014250951672146246
GO:0043066,476,-2.450569848670957,0.014263028666602003
GO:0060037,17,-2.4501591452718468,0.014279308659035927
GO:1904047,21,-2.449807590627121,0.014293257055909333
GO:0008543,43,-2.448800359187179,0.014333286871866106
GO:0004175,97,2.448548805728728,0.01434329963487943
GO:0045499,29,-2.4476190404583402,0.014380361314326547
GO:0032585,30,2.44689260431303,0.01440937677493966
GO:0034451,85,-2.4452812266361668,0.01447392311261654
GO:0030911,7,-2.445107313536492,0.01448090470406294
GO:0008484,10,2.4447765225253537,0.014494192220337331
GO:0008035,15,2.443789842752108,0.014533889960091728
GO:0042255,9,-2.4435422542825926,0.014543866384520317
GO:0045916,5,2.4430315616721097,0.014564463501389067
GO:0031663,31,2.442094607411947,0.014602319372530525
GO:0004791,7,2.441483769218262,0.014627045824644958
GO:0004672,528,-2.4389617125043994,0.014729528775530824
GO:0086011,10,2.438864552347079,0.014733489475378496
GO:0006264,11,-2.437047057801477,0.014807752210695208
GO:0071541,7,-2.4367429654019106,0.014820209570768272
GO:1902275,14,-2.43536397400067,0.014876816897646288
GO:0006487,58,-2.433751659839506,0.014943243598185172
GO:0034715,6,2.433228144301711,0.014964868356191407
GO:0060259,16,2.433212730532779,0.014965505467433264
GO:0031491,35,-2.432721462055821,0.014985824032950672
GO:0006515,21,-2.4326151018773996,0.014990226224113539
GO:0032184,5,-2.4324561314632014,0.014996808048702341
GO:0005938,190,-2.4306876997047464,0.015070197977606527
GO:0046579,21,-2.4299124286966625,0.015102471340935814
GO:0045743,8,-2.429180675674801,0.015132988941575316
GO:0071726,6,2.428596778738325,0.015157379179836776
GO:0048754,12,-2.4280689888260136,0.015179455525826953
GO:0031528,33,-2.427324058494575,0.01521066258279676
GO:0030220,17,2.427156504346172,0.015217689636638282
GO:0030628,5,-2.4268111383111486,0.015232182962569306
GO:0003690,134,-2.423483054822584,0.015372470417693842
GO:0005773,20,2.4220317382766536,0.015434002503528324
GO:0052651,7,2.419470737485013,0.01554311125371336
GO:0016479,6,-2.4185838968512865,0.015581052071653565
GO:0043996,11,-2.4144512494823833,0.015758931684749934
GO:0043995,11,-2.4144512494823833,0.015758931684749934
GO:0016301,682,-2.4143634110348153,0.01576273178168223
GO:0140367,19,2.4137077763119756,0.015791121544583977
GO:0016235,13,-2.4123926966148503,0.015848201660421304
GO:0048538,15,-2.412164302869625,0.0158581334032082
GO:0070509,15,2.4110090320063384,0.01590845447426153
GO:0031721,5,2.4106621705597076,0.01592359038226404
GO:0006606,81,-2.4092986914234666,0.015983210978062067
GO:0001917,67,-2.4088545044175746,0.016002676198731382
GO:0034115,10,2.407965665475156,0.01604168960309502
GO:0071364,45,-2.407414116703661,0.01606594050167095
GO:0006346,25,-2.40701174974655,0.01608365239100085
GO:2000121,6,2.4052768746691635,0.016160216981948115
GO:0043372,5,2.404874266188616,0.016178030881163128
GO:0001223,54,-2.40461877489192,0.01618934435161999
GO:0045953,16,2.404109178790467,0.016211930664240377
GO:0004181,34,2.403861379696604,0.016222923616465313
GO:0019673,5,2.4024805032697074,0.016284302595054447
GO:0045794,5,2.4022661364411486,0.016293849323953877
GO:0044183,68,-2.401691408384536,0.016319468847141184
GO:0048240,28,2.401587448890152,0.016324106804398848
GO:0043266,9,-2.4002666162987314,0.01638313417551699
GO:0030888,10,-2.3996030068041776,0.016412861274417625
GO:0002281,13,2.3989862061775935,0.01644053399901469
GO:0046835,24,2.3980285845892815,0.016483578851980603
GO:0008013,109,-2.3968523425048764,0.016536586091253726
GO:0034464,10,-2.395939606480033,0.016577821556296037
GO:0072656,5,2.391940800865559,0.016759545355790908
GO:0005668,5,-2.39179788964652,0.01676607212957493
GO:0001556,16,2.390985614277976,0.01680321125204039
GO:0045429,35,2.39066945464067,0.016817686320958168
GO:0090382,11,2.3898078465927957,0.0168571898043877
GO:0010008,330,2.388051912450437,0.016937949056806057
GO:0060538,5,-2.3876891920991397,0.016954673610842765
GO:0050727,90,2.387591277057245,0.01695919082690014
GO:0001935,19,-2.3868529538542615,0.01699328667816068
GO:1905606,27,-2.385498009830561,0.01705601466523531
GO:1900426,8,2.384918744061052,0.017082894076125933
GO:0005643,90,-2.383587316342523,0.017144816653668665
GO:0032466,6,2.383457272120536,0.017150875345751358
GO:0070182,21,-2.3816827898713795,0.017233735413424957
GO:0150094,8,2.3810772490390546,0.01726209160252127
GO:1903428,16,2.3798994981372874,0.017317360391352288
GO:0060998,9,-2.3782692766220115,0.017394118504201334
GO:0051881,26,2.3781619202571087,0.017399183775739496
GO:0032689,37,2.378069656293357,0.017403537993336153
GO:0000447,9,-2.377763284547123,0.017418003464592813
GO:0019076,18,2.3777077076219357,0.017420628681972125
GO:0050921,19,2.3770459026495674,0.01745191620536121
GO:0048468,31,-2.3769609849439757,0.017455934343239027
GO:0050656,10,-2.3742623824930256,0.017584050064479495
GO:0042834,15,2.3725550161283557,0.017665532062100617
GO:1901203,8,-2.3701176897115914,0.01778242386309189
GO:0008568,9,-2.3695076243778943,0.017811787843294645
GO:0005484,40,2.3673505820846232,0.01791595267722782
GO:0032981,40,2.366175360804723,0.017972929078129203
GO:0071345,51,2.36612466142065,0.017975390623795755
GO:0017134,24,-2.366042691239581,0.017979371047223715
GO:0034612,27,2.3645060825536106,0.01805413088045447
GO:0004331,5,2.3635729238862577,0.018099664123488218
GO:1900034,15,-2.362838362974638,0.018135577549722965
GO:0016559,11,2.3613583267368785,0.018208127596303546
GO:0070914,11,-2.3604429315171287,0.01825312653130763
GO:0043651,19,2.3591549083023122,0.018316607961320553
GO:0019888,47,-2.357007541006613,0.01842287273555069
GO:0004185,5,2.3567131853723713,0.018437481212228463
GO:0031333,31,-2.3562209927742495,0.01846193072337854
GO:0035023,31,-2.3561348751597038,0.018466211504052542
GO:0005589,5,-2.3559986292771744,0.01847298586199435
GO:0004864,53,-2.355471817616184,0.018499200228060064
GO:0048496,5,-2.3549625229391395,0.01852457388529814
GO:0070937,6,-2.3548536974790606,0.018529999644642584
GO:0016671,5,2.353854960991585,0.01857985907483734
GO:1903077,25,2.349797455544316,0.018783629122458137
GO:0061626,8,-2.3491589448121646,0.018815872842641853
GO:0043204,156,-2.3485300766572887,0.01884767693837151
GO:0005832,10,-2.3477343111802544,0.018887989006523234
GO:0045724,21,-2.347262939169605,0.01891190342128672
GO:0032376,8,2.346164838397961,0.018967716779274994
GO:0036258,33,2.344814822689761,0.019036531605808208
GO:0090161,11,-2.344543961910943,0.01905036454840758
GO:0140639,9,2.3445275945755175,0.01905120071471447
GO:0030247,14,2.3440770623324143,0.01907422988367468
GO:0006644,63,2.343863829859816,0.01908513784501672
GO:0044546,6,2.343014361567025,0.019128646766150673
GO:0050680,39,-2.3421829231258786,0.01917131615777691
GO:0010842,19,-2.3421071370492923,0.019175209630798933
GO:0015909,18,2.3409456329991336,0.019234967867417574
GO:0045664,21,-2.3391723562285596,0.01932651514937496
GO:0035627,9,2.3388817882662383,0.019341552277319183
GO:1990877,10,2.3366935805481774,0.01945512257450924
GO:0072558,5,2.3362768810497507,0.019476815634590968
GO:0015662,6,-2.3355780844652503,0.019513241890334713
GO:0032785,6,-2.3354150082130185,0.019521751146144333
GO:0000221,12,2.334890183650453,0.019549158295795236
GO:0000987,80,-2.3341521196483526,0.01958775800678624
GO:0016282,18,-2.3337514155268435,0.019608742139220744
GO:0004129,12,2.3319841120038887,0.019701526996858336
GO:0032693,22,2.3313718026322348,0.019733763044951405
GO:0033603,6,-2.3307510273991863,0.019766491802629373
GO:0060340,19,2.3283772653627204,0.019892079771903985
GO:0005697,22,-2.3260480830380605,0.02001598571835264
GO:0008207,7,2.325047211792462,0.020069435847110937
GO:0035241,5,-2.324450977674249,0.020101336068236133
GO:0140585,5,-2.3232362323124147,0.020166465342052294
GO:0097504,12,-2.322735423668394,0.02019337004749517
GO:1900223,7,2.322389945959093,0.020211948233196324
GO:0009812,9,2.3223704679277803,0.020212996115177063
GO:0048863,34,-2.3220391152003654,0.020230829541332353
GO:0072006,8,-2.3214775836242425,0.020261082554743348
GO:0050852,95,-2.3210255156044606,0.020285466793260945
GO:0046931,9,2.3197339829059946,0.02035527229248512
GO:0071396,36,2.319630839120876,0.020360856091613526
GO:0009791,8,-2.3192178806701267,0.02038322542514787
GO:0004128,7,2.3188267940461667,0.02040442975617983
GO:0002523,12,2.3186530849267912,0.020413854262686854
GO:0140827,5,2.316162126969969,0.020549418202327967
GO:0030955,13,2.3158659654666,0.020565588127680837
GO:0034454,11,-2.315323582922605,0.020595230080264246
GO:0008366,5,-2.315090292827174,0.020607991158793214
GO:0099572,12,-2.314524618063815,0.02063896246648541
GO:0035883,5,-2.3135539972225017,0.020692199579649285
GO:0098907,6,-2.312975715905909,0.02072397433179818
GO:1904358,6,-2.3123886413978743,0.02075627574630535
GO:0014842,5,-2.3118390625940304,0.020786553875508276
GO:0090158,6,2.310333880619752,0.02086967657310809
GO:0035469,5,-2.3102313113798383,0.02087535142176398
GO:0043034,16,-2.3102067788312293,0.020876708933447976
GO:0043048,9,2.309534247922721,0.020913953493891614
GO:0005049,12,-2.309173755984426,0.020933941258395903
GO:0018105,33,-2.308603131440405,0.020965614025685312
GO:0031201,44,2.308180503002846,0.020989099114083143
GO:0016567,526,-2.307777035606772,0.021011540825825015
GO:0006607,19,-2.305628572755196,0.02113139532229322
GO:0004464,5,2.3043719513992267,0.02120177311450857
GO:0007020,30,-2.30229089540273,0.021318772927417334
GO:0030279,23,-2.2996886746198264,0.021465864210939694
GO:0034125,6,2.299570847972447,0.021472545257089946
GO:0048025,27,-2.2979624420207427,0.021563926838375987
GO:0045744,24,-2.295693299083917,0.02169342386357644
GO:0051967,8,-2.295434507078055,0.021708235698461417
GO:0050544,7,2.2953643445856255,0.021712252931065153
GO:0090009,6,-2.293569641890313,0.021815230839706167
GO:0030893,7,-2.2927976673602126,0.021859656386115915
GO:0051963,36,-2.291912482668332,0.021910693812074698
GO:0017070,22,-2.291857026316434,0.02191389472815203
GO:1904018,5,-2.2900808294952966,0.0220166314514773
GO:0098885,12,2.286017439054658,0.022253238354863644
GO:0019941,9,2.2850069478715604,0.022312420366920868
GO:0062029,6,-2.284959215772469,0.02231521930171506
GO:0007520,17,-2.284295957670457,0.02235414331344285
GO:0015245,7,2.2841917496044157,0.022360264238225427
GO:0042752,68,-2.283556524074036,0.022397607343005735
GO:1902774,18,2.2832977280706515,0.022412836762628924
GO:0006269,7,-2.2827725280797755,0.02244377098597923
GO:0071944,113,-2.2822801425374,0.022472806145315178
GO:0048546,8,-2.2813961024756084,0.02252501846916292
GO:0044615,13,-2.2813414826546223,0.02252824782828273
GO:0045088,28,2.2809545969735936,0.022551133699330456
GO:0070996,5,2.2796483105054275,0.022628555253504587
GO:0089720,12,2.2791212849092393,0.02265985657399602
GO:0090084,10,-2.276588550402384,0.022810807242492907
GO:0042800,16,-2.276149431047673,0.02283706737841102
GO:0046600,7,-2.2759783824830935,0.02284730349919534
GO:0005801,64,-2.2758118335753013,0.02285727417522033
GO:0004931,7,2.275797205267182,0.02285815009926903
GO:0001614,7,2.275797205267182,0.02285815009926903
GO:0006661,51,-2.2753290850507493,0.022886195930658354
GO:0051256,11,2.2752389080367066,0.022891602012450763
GO:0017116,21,-2.2742210168850385,0.02295270121986795
GO:0051044,14,2.2737808019319705,0.022979169095315388
GO:0051148,6,-2.2732177256117723,0.023013062635121977
GO:0002755,16,2.272074534304068,0.02308200891723229
GO:0006526,5,2.271288004191628,0.023129548936559344
GO:0006006,47,2.269496789432186,0.023238132244148987
GO:0006525,8,2.2688265047933376,0.023278878497409543
GO:0036006,5,2.2687870578584404,0.023281278387379638
GO:0004143,11,-2.267000351058956,0.02339020427257884
GO:0071360,16,2.265322989699469,0.02349286626781697
GO:0009410,188,-2.2623918065889996,0.023673206704048013
GO:0000038,18,2.262355398674875,0.023675454224665094
GO:0008408,18,-2.2616585765636845,0.023718505897244422
GO:1904871,10,-2.2611517393813334,0.023749862405951932
GO:0009253,6,2.260465162687238,0.023792396213800106
GO:0005759,464,2.260070866691433,0.023816852928559198
GO:0061028,20,-2.2569407206262118,0.024011779135334404
GO:0010636,5,-2.255782136925864,0.024084278588384803
GO:0004090,9,2.255286571262336,0.024115346979598554
GO:0002327,6,-2.2549205701113535,0.0241383149140993
GO:0001652,6,-2.25377903634573,0.02421007227188491
GO:0007224,44,-2.2527057061442566,0.02427771092986852
GO:1905146,12,2.251836501116495,0.024332606093262307
GO:0055088,50,2.251585536523586,0.024348475914447044
GO:0004563,5,2.2513876169404052,0.024360997744859173
GO:0051373,5,2.2503872384071304,0.02442437439197216
GO:0001975,20,-2.250329933122893,0.024428009157502893
GO:0002199,8,-2.248997611370969,0.024512648041358463
GO:0030533,42,2.248786960310114,0.024526053385214918
GO:0046836,5,2.2484936647548595,0.024544728611648945
GO:0060290,7,-2.2481072874353725,0.02456934950881937
GO:0046761,15,2.2466511218669143,0.024662332287207354
GO:0045861,30,2.2460755402991697,0.02469916975771327
GO:0060336,8,2.2456363032267213,0.0247273131773021
GO:1903231,339,2.2456318350865847,0.024727599608965395
GO:0060766,16,-2.2454678555664156,0.024738113561006678
GO:0048255,43,-2.2454243398682867,0.02474090432755979
GO:1900152,9,-2.2435155977307257,0.024863585178714953
GO:0015866,9,-2.243435704245217,0.024868731650895867
GO:0072686,123,-2.242546724106635,0.024926059061570187
GO:0043596,24,-2.2411982100062278,0.025013238758638763
GO:0005105,6,-2.241059088671642,0.025022247778679667
GO:0002020,110,2.240104722908038,0.025084125002428723
GO:0035385,5,-2.2394545301506237,0.025126356705609455
GO:0061351,10,2.2369227675823358,0.02529138822969305
GO:0046966,28,-2.2366007304138873,0.02531244714651884
GO:0045116,21,2.235267649880092,0.025399782541892672
GO:0097264,8,-2.233405660987568,0.025522205212662533
GO:2000637,6,-2.2329705065609398,0.02555088937518282
GO:0070300,26,2.2315866196649234,0.02564229678851466
GO:0005068,18,-2.229661258539022,0.02576993968701916
GO:0033617,30,2.229267834854243,0.0257960894388422
GO:0044314,14,2.2290448767986386,0.025810919010741513
GO:0006811,649,2.2278936327335717,0.02588760888552436
GO:0019966,5,2.2272356209227633,0.025931530630017713
GO:0010594,9,2.227137433201449,0.025938090100665702
GO:0060231,8,-2.227106739002969,0.025940140933387527
GO:0045184,43,-2.226166632177777,0.02600302210880206
GO:0060055,5,2.2255921419038116,0.026041513027923287
GO:0007216,14,-2.2220622288184,0.026279100426188164
GO:0001709,9,-2.2200269129911776,0.026416940774167105
GO:1903896,8,2.218519867777328,0.02651940646601828
GO:0060379,9,-2.2182159939863144,0.0265401087281934
GO:0030424,426,-2.2181979615033023,0.026541337680831226
GO:0002027,37,-2.217068619993405,0.026618402752894066
GO:0006689,8,2.2131248269743757,0.026889040896803704
GO:0006457,191,-2.2119938837213797,0.026967087545267818
GO:0008121,6,2.211444441266329,0.02700507522598127
GO:0060612,22,-2.2098972984201994,0.02711229078427769
GO:0035019,13,-2.209212348153347,0.027159874409645707
GO:0003985,6,2.209030912733297,0.027172490830925714
GO:1905279,6,-2.208933066981958,0.027179296801182383
GO:0015631,74,-2.2069457793309124,0.027317847599802086
GO:0031175,130,-2.2053411120718676,0.02743016696736409
GO:0120035,5,2.2040482756336366,0.027520949186556093
GO:0071596,5,-2.2029764414908417,0.027596409139191546
GO:0009298,6,2.2012684831270586,0.027717022666242274
GO:0003148,23,-2.2008185399669493,0.027748872548137102
GO:0051294,5,-2.1995823000386583,0.027836544119036834
GO:0034237,25,-2.198675006947578,0.02790103932552065
GO:0005518,63,2.197015417268529,0.028019345145700682
GO:0060038,10,-2.195412652185304,0.02813401034904465
GO:0044020,5,-2.1946875907865624,0.028186015488650115
GO:0005149,14,2.1938326856077723,0.028247440097304344
GO:0050679,43,-2.193379775413554,0.02828002823643228
GO:0007009,15,-2.192724728355623,0.028327217986193854
GO:0006271,8,-2.1925050375180666,0.02834305975293342
GO:0000387,65,-2.1911822507916408,0.028438606496684376
GO:1905515,40,-2.190802017552578,0.02846612256828167
GO:0004065,13,2.1903989425645354,0.02849531665154108
GO:0006911,22,2.1902208308001305,0.02850822521849226
GO:0060272,7,-2.1899795973304284,0.028525716532254126
GO:0043517,19,-2.189428764182193,0.02856569090001553
GO:0034364,25,2.188718441224675,0.02861731077871468
GO:0072540,10,-2.1884395591545185,0.0286375993684183
GO:0030217,31,-2.1883490561534056,0.028644186097222153
GO:0048598,14,-2.188024489122681,0.028667818530712822
GO:0005536,11,2.187770485854798,0.02868632477274411
GO:0070831,6,-2.1862980831721703,0.028793804294241176
GO:0140694,18,-2.186194625224766,0.028801369331809417
GO:0031573,18,-2.1852718067531898,0.028868923277805467
GO:2000641,15,2.185153578233724,0.02887758792105721
GO:0010587,8,-2.185019771482557,0.028887396950816217
GO:0140358,5,-2.184112160577654,0.02895400732372479
GO:0031428,6,-2.1832974801311034,0.029013910008590604
GO:0019395,16,2.1829861054978146,0.029036833252523236
GO:0008139,24,-2.1828863442616186,0.029044180921088986
GO:0022843,11,-2.1819649530137517,0.029112119407099596
GO:0005975,179,2.181395537168511,0.029154173442757565
GO:0016264,8,2.1812912616082656,0.029161880343662162
GO:0048562,6,-2.18026426183959,0.02923787856785136
GO:0030425,485,-2.179565478573623,0.029289686068252867
GO:0051301,415,-2.179117739264658,0.029322922775924735
GO:0141091,13,-2.178809530170014,0.029345820690339787
GO:0015030,103,-2.178608072681629,0.029360795972956003
GO:0071468,22,2.1775461191903203,0.02943984468832935
GO:0046942,6,2.1753067437717406,0.029607137509527648
GO:0006024,22,-2.171924271298872,0.029861375413262427
GO:0045793,7,-2.171831679536625,0.02986836122959822
GO:0071340,5,-2.170321227940361,0.029982519574139905
GO:0016020,5863,-2.1694967832402927,0.03004498831435069
GO:1902533,44,2.1694814615955433,0.030046150303870645
GO:0098684,9,-2.16833582786707,0.03013314435450951
GO:0044194,13,-2.1679735403785783,0.03016069977767113
GO:0016236,80,2.1676147016593474,0.030188014232121866
GO:0008510,6,-2.167283392161931,0.030213252059483775
GO:0007567,8,2.167055132997334,0.030230650472903513
GO:1901847,12,2.165876746935972,0.030320606643935134
GO:0005869,8,2.1643434894523947,0.030437997371413464
GO:0031490,88,-2.1618417138063064,0.030630378956558534
GO:0006465,7,-2.16168575544558,0.03064240634575587
GO:0006915,670,2.161505162627823,0.030656338592451735
GO:0003162,6,-2.1609560335753333,0.030698735835028898
GO:1901222,7,2.159813590881161,0.030787103095251674
GO:0060428,6,-2.159749269308817,0.03079208481820275
GO:0070013,13,-2.159619413279659,0.03080214431146299
GO:0070449,5,2.159531430902894,0.030808961602450766
GO:0001848,7,2.159149274422819,0.030838587931141182
GO:0045180,5,-2.1588168748076977,0.030864376791020966
GO:0010887,11,2.157803337081927,0.030943125330850287
GO:0010314,20,2.1575645041574063,0.03096170695144811
GO:0008343,7,2.157488483276963,0.030967623518601186
GO:0032154,53,-2.1569023636447273,0.031013272740933778
GO:0042806,8,2.1565475142606942,0.03104093781806754
GO:0009299,5,-2.1564945674983087,0.031045067515210707
GO:1904357,11,-2.1554425809888875,0.03112721729291343
GO:0000149,67,2.1544221164676993,0.031207083698386418
GO:0006563,8,-2.1542313187327253,0.031222035932646924
GO:0000109,6,-2.154106830981594,0.03123179497010781
GO:0004674,426,-2.154070072325526,0.031234677112362205
GO:0015816,11,2.1538045053324923,0.03125550625037914
GO:0071932,5,-2.1534934318984833,0.03127991973745347
GO:0010756,8,2.1511807197446684,0.03146193821743759
GO:0031514,170,-2.1508399171920782,0.031488837221299075
GO:0070160,42,-2.1508173661720273,0.03149061783311932
GO:0030177,42,-2.1503733952016133,0.031525691043770614
GO:0030903,5,-2.149742012398702,0.03157562728328812
GO:0030515,21,-2.147666165621877,0.03174028503708879
GO:1902895,57,-2.147524451702062,0.03175155269197492
GO:0032509,11,2.147372649446354,0.03176362627369482
GO:1902894,27,-2.1462361749772314,0.031854140807105025
GO:0016070,13,-2.146079965912446,0.03186659935154949
GO:0000776,177,-2.14554185770339,0.03190954847021632
GO:0050891,9,2.145486291011591,0.03191398635241141
GO:0032452,21,-2.145434280672623,0.03191814068278537
GO:0019239,9,-2.1443411510526333,0.03200556183258689
GO:0032872,15,2.143997053729124,0.032033122857387956
GO:0051649,15,2.143130600581659,0.03210261292678163
GO:0046074,6,2.142952415328932,0.032116919497956656
GO:0099041,5,-2.1426321792514966,0.0321426451264801
GO:0101031,21,-2.1425223682778936,0.0321514706721038
GO:0042171,12,2.14135965042567,0.032245046184106986
GO:0031461,17,-2.1413191381678214,0.032248310812817045
GO:0060041,30,-2.140531320517401,0.03231185242340823
GO:1903490,7,2.138283698390343,0.03249372480816587
GO:0006636,14,2.1374590138407092,0.03256067592342038
GO:0007599,52,2.134730845769866,0.03278300188587657
GO:0032584,8,-2.134684888179621,0.03278675820239936
GO:0060255,50,-2.1345666170562962,0.032796426717513545
GO:0008344,18,-2.1342342953660003,0.03282360666445068
GO:2000104,7,2.1320330844413955,0.0330041268499979
GO:0034638,12,2.130980823116511,0.03309072207140234
GO:0006303,37,-2.1304717675164184,0.03313268424808481
GO:0097718,27,-2.1293042248439553,0.033229098492008516
GO:0090383,6,2.129221394891006,0.03323594759941524
GO:0016323,272,-2.1281804311137065,0.03332212666506094
GO:0016829,180,2.1280489539284937,0.03333302495529553
GO:0031072,64,-2.127905049748358,0.03334495682864917
GO:0030687,15,-2.127390035069373,0.033387689427030916
GO:0005789,1227,2.1272005892488104,0.033403420203157425
GO:0045779,15,2.1265235819219077,0.03345968784611882
GO:0010467,97,-2.1261281526758293,0.03349259038081132
GO:0051018,26,-2.1258355100320707,0.03351695815440703
GO:0007190,15,2.125492090079687,0.033545573393703315
GO:0061469,5,-2.123017614438352,0.033752375844843356
GO:1901612,12,2.121501494174146,0.03387962233439601
GO:1990948,13,-2.118779476294759,0.03410910801632451
GO:0008544,92,2.1178348171809573,0.03418905952659903
GO:0051135,5,-2.1160506925101865,0.034340496419379904
GO:0044539,10,2.1154999954593086,0.03438735531565848
GO:0160225,6,-2.1149359151954914,0.03443540962170005
GO:0001836,19,2.1147668584686983,0.03444982282637034
GO:0046320,5,-2.1145501247102736,0.03446830835272514
GO:0060218,10,-2.1134788090735737,0.034559806888464356
GO:0016298,25,2.1133010517441324,0.034575008773798876
GO:0071711,15,-2.1129491492782853,0.03460512047593753
GO:0006869,196,2.111566927725821,0.03472361173761265
GO:0035332,17,-2.1115145368673263,0.03472810976362033
GO:0061760,20,2.111271124640924,0.03474901448891416
GO:0043518,15,-2.110844905920155,0.03478564488336033
GO:0140948,7,-2.110201229924058,0.03484102664818183
GO:0060081,5,-2.10711874132023,0.03510728819444147
GO:0045730,15,2.1062031926301628,0.03518670596067951
GO:0048663,11,-2.10579443499139,0.035222212453622156
GO:0021517,8,-2.105506473784597,0.035247244391223675
GO:1902570,11,-2.1047104143364224,0.03531652339081195
GO:2000767,18,-2.1045722730653273,0.03532855729388562
GO:0019221,146,2.1037575518160003,0.03539960132079306
GO:0036295,8,2.1024276285096137,0.03551583309293551
GO:0050786,10,2.101907517015241,0.035561377946579514
GO:0005635,228,-2.101739701265964,0.035576083777206786
GO:0045879,28,-2.101334273902043,0.03561163311561771
GO:0006656,22,2.100424587661271,0.03569150798867394
GO:0006189,6,-2.100030745741496,0.03572613659640069
GO:0006171,13,2.099921751729295,0.035735724971841805
GO:0015616,6,-2.0993784407325684,0.03578355364516379
GO:1905039,12,-2.096223283661172,0.03606238841620421
GO:0005215,36,-2.0949403273486675,0.036176297388540564
GO:0004322,6,-2.094420922664719,0.03622250056462927
GO:0085029,10,-2.094378597728378,0.036226267756619704
GO:0071339,29,-2.0942366404057466,0.03623890531136283
GO:0097730,39,-2.0931283442236306,0.03633769910399549
GO:0004602,22,2.09238364158623,0.036404210938666276
GO:0009165,14,2.0922960154364145,0.0364120439352067
GO:0031091,18,2.09029683630094,0.036591143303465495
GO:0090257,6,-2.090148324856243,0.03660447781406101
GO:0098982,117,-2.090124539897353,0.03660661379691933
GO:0002757,5,2.0893262945498368,0.036678360979039044
GO:0002544,9,2.086631423353539,0.03692146453162133
GO:0046975,11,-2.085800276244217,0.036996718396582466
GO:0046930,13,2.0856288817589963,0.03701225305927185
GO:0051552,7,2.0854705399521363,0.0370266096035223
GO:0004176,7,-2.0854403437494846,0.03702934797289548
GO:0009168,7,-2.084474065264623,0.03711706689052312
GO:0140955,6,-2.0834948137651814,0.03720614393937179
GO:0006068,13,2.0821720015801333,0.037326761704699896
GO:0006995,11,2.0818255338426708,0.0373584085647195
GO:0048539,5,-2.081716272135994,0.03736839342112675
GO:0150012,8,2.08152537618404,0.03738584385566204
GO:0001736,5,-2.0811446272598366,0.03742067009613055
GO:0072384,13,2.0790253542378347,0.0376150201394624
GO:0030971,65,-2.0787251949879164,0.037642615857662286
GO:0035720,23,-2.0784888249987286,0.037664359109135
GO:0060100,12,2.0783947647501058,0.03767301451447854
GO:0009880,19,-2.0781416466799527,0.03769631479381262
GO:0034389,17,2.0775628714066845,0.03774963887115181
GO:0048745,11,-2.0766945027424923,0.03782976430364683
GO:0030297,14,2.075490682224036,0.03794108154606181
GO:0005885,11,2.075128695129762,0.03797460891449557
GO:0006729,7,2.074056375349711,0.038074075455017405
GO:0003689,9,-2.0730228996552293,0.038170148457136184
GO:0032940,8,2.0727407809499137,0.03819641029935789
GO:0001932,17,2.072737549089504,0.03819671123548888
GO:0000470,11,-2.071804365121196,0.03828368944899195
GO:0042759,19,2.069654422927105,0.03848471769050742
GO:0042058,11,2.067901890763314,0.03864924959633546
GO:0097136,8,2.0668373069822854,0.0387494868044921
GO:0042127,142,-2.0662239875480535,0.03880733487736904
GO:0071481,8,-2.0640974171504194,0.03900848081819736
GO:0000301,9,-2.063755255336224,0.039040927444399444
GO:0033619,13,2.063713147804538,0.03904492201402374
GO:0007017,45,2.0635658986917984,0.0390588936658371
