gene,tb_mean,healthy_mean,log2_fold_change,p_value,adjusted_p_value,significant
ENSG00000165795,1.9577845057474252,1.9887425978752646,-0.0309580921278394,0.002678516594722015,0.014022517819260017,True
ENSG00000144792,1.2684037760029936,1.3072510018255303,-0.038847225822536746,0.0026806083335544936,0.014031774404626208,True
ENSG00000232196,0.8385621308265216,0.9061456743935542,-0.06758354356703256,0.00268646475956865,0.014060732814625875,True
ENSG00000211834,0.40213751179243784,0.504985402165042,-0.10284789037260411,0.00269028659078158,0.014079036620330878,True
ENSG00000185670,1.8734366128745192,1.8979430945790285,-0.02450648170450931,0.002694332437610226,0.01409850820466903,True
ENSG00000078246,1.8039708044799874,1.824042978077474,-0.020072173597486698,0.0026957302238269725,0.014104120378355334,True
ENSG00000244405,1.3076981369195462,1.243739199125679,0.06395893779386719,0.0026963870833811173,0.014105855120841523,True
ENSG00000229769,1.4140629014545205,1.3648260586496677,0.049236842804852854,0.0026968126859487134,0.014106379795029439,True
ENSG00000107890,1.5309935247423723,1.564380370289954,-0.033386845547581645,0.0026976220320825656,0.014108911371028378,True
ENSG00000159720,4.667332943526738,4.569133300270624,0.09819964325611341,0.0026988318564432115,0.01411353663663133,True
ENSG00000012983,2.063640078259064,2.100369626133441,-0.03672954787437677,0.002699312762976443,0.014114349371873567,True
ENSG00000128310,0.14334729405429167,0.1115691983211664,0.031778095733125275,0.002700129072280628,0.014116915476405216,True
ENSG00000107968,2.4771864394592478,2.4323027926042853,0.04488364685496249,0.0027007886660163987,0.01411695985106908,True
ENSG00000140319,2.881466081608119,2.8118701796028325,0.06959590200528654,0.002700542286483424,0.01411695985106908,True
ENSG00000143546,4.77948950204499,4.4479144686553775,0.3315750333896128,0.002703731422761585,0.014130638265060938,True
ENSG00000171223,5.070382658377892,4.980496945049324,0.08988571332856843,0.0027112031236271542,0.014167980362719245,True
ENSG00000096696,0.8990628806033626,1.0876417222773622,-0.18857884167399963,0.0027120796745885136,0.014170853226796206,True
ENSG00000121753,1.4850178435831887,1.5206068291517532,-0.03558898556856449,0.00271448221620561,0.01418169787244866,True
ENSG00000124596,2.0125189833266175,1.9955042682548065,0.01701471507181096,0.0027164207224597775,0.014190115864115567,True
ENSG00000084693,1.9797557172336866,1.9550226972943074,0.024733019939379153,0.002717746924776438,0.01419533364238505,True
ENSG00000184575,2.5811887813362207,2.631750205577769,-0.05056142424154819,0.0027190786299327377,0.014200578902778913,True
ENSG00000251230,1.5687358439920431,1.5236845514761663,0.045051292515876806,0.0027195704303657896,0.014201436966757193,True
ENSG00000224934,1.5467082519090274,1.5717559492298823,-0.025047697320854878,0.0027214032261035827,0.01420929657959418,True
ENSG00000054983,2.680354221867039,2.6277335432845588,0.052620678582480096,0.002726606308352403,0.014234749500251054,True
ENSG00000146282,2.0485698222024675,2.072255942694689,-0.02368612049222163,0.0027270547847981176,0.014235376987263846,True
ENSG00000089157,5.811630926814851,5.92938168484815,-0.11775075803329926,0.0027315481471234877,0.014257116310028382,True
ENSG00000153363,1.5643872148401576,1.5447089476292213,0.01967826721093635,0.002732531452178458,0.014260532117079611,True
ENSG00000185664,0.9543312070485768,0.8728467978479116,0.08148440920066513,0.0027356558218863142,0.014275119543255865,True
ENSG00000259053,0.11431245456634136,0.09912364601821602,0.015188808548125335,0.00273777630656841,0.014284465645737692,True
ENSG00000196352,4.229554311781536,4.135646704806143,0.09390760697539324,0.002747007031098898,0.01432917910375815,True
ENSG00000231758,0.11279844240614126,0.09912364601821602,0.013674796387925237,0.0027468103628623497,0.01432917910375815,True
ENSG00000132970,1.3124581882943238,1.2433065644740562,0.06915162382026763,0.002751250097042024,0.014349585994471168,True
ENSG00000177853,2.230818294011412,2.2857834570928492,-0.054965163081437396,0.002759513669700681,0.014390955052222565,True
ENSG00000134352,2.978858309105914,3.1046459379836535,-0.12578762887773953,0.002764255705738754,0.014413951439147378,True
ENSG00000057252,2.8158820050206126,2.8626145852991405,-0.04673258027852789,0.0027655965991841645,0.014419209490251645,True
ENSG00000196090,0.25566165419362513,0.18579587967426228,0.06986577451936285,0.002768863194819803,0.014434505255707034,True
ENSG00000115524,4.729814157621465,4.855427169330709,-0.12561301170924377,0.0027700990151744253,0.014439211875827456,True
ENSG00000272173,1.116704951033105,1.1597129867653986,-0.043008035732293504,0.0027722187961751726,0.014448524478190387,True
ENSG00000248727,1.168126580538234,1.1107426960499898,0.05738388448824416,0.002773153084099479,0.01445165691453019,True
ENSG00000119929,2.0030113940762835,1.9734456993099412,0.0295656947663423,0.0027785830014287727,0.01447821373359239,True
ENSG00000145335,3.5442377103378138,3.2653494865951656,0.2788882237426482,0.0027791831850733223,0.014479601159958484,True
ENSG00000239923,0.16375758205996632,0.12257986502424799,0.041177717035718334,0.0027804778940075537,0.014482866416558505,True
ENSG00000284188,0.5694323748559825,0.657918345165382,-0.08848597030939942,0.0027804229142744017,0.014482866416558505,True
ENSG00000131355,3.6435471556306993,3.7401526743167643,-0.09660551868606504,0.0027847564806907487,0.014503410433844935,True
ENSG00000184702,2.1003374216063695,2.0271750222499842,0.07316239935638524,0.0027880951611273077,0.014519054938388789,True
ENSG00000181143,1.0142845406377623,1.1380519753135683,-0.12376743467580598,0.002789045280559842,0.014522258705681608,True
ENSG00000251320,0.4125963661231568,0.5172870637748758,-0.10469069765171896,0.002789577307733511,0.014523285003631677,True
ENSG00000108829,3.03547047673425,2.9733970085992647,0.062073468134985266,0.002789925182977913,0.014523352426106993,True
ENSG00000276040,0.800229527293377,0.9090885844687796,-0.10885905717540256,0.002791676872855592,0.014530726711995802,True
ENSG00000222414,0.11262574777436543,0.09912364601821602,0.01350210175614941,0.002792182833604403,0.014531615964184797,True
ENSG00000087263,2.322458484916049,2.3594020566922045,-0.036943571776155704,0.0027940127742358727,0.01453939468729031,True
ENSG00000182983,1.428771806995405,1.4655038569501433,-0.03673204995473833,0.0027945722149490836,0.014540560949944457,True
ENSG00000248908,1.1028589525666377,1.0312501026299898,0.07160884993664784,0.002795406411282308,0.014543156354221322,True
ENSG00000119523,2.281772918077343,2.3013887572941245,-0.01961583921678134,0.0027970149689722345,0.014549779282574737,True
ENSG00000079616,2.7414807400946346,2.7921443507494197,-0.050663610654785085,0.0028008683398557397,0.014567080800201014,True
